appliesTo,key,editorKind,sourceKind,quality,description
AI,AICaptureWounded,Text,Yuri,community-reference-inferred-yuri-20260603,推断型字段：AICaptureWounded / AI 暂未完成官方逐条核验；根据字段名、所属 AI 配置 上下文和既有社区资料线索，它可能用于AI 行为、目标选择或威胁评估，并可能涉及生命值、护甲、伤害或修理倍率。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
AI,SuspendPriority,Text,Yuri,community-reference-inferred-yuri-20260603,推断型字段：SuspendPriority / AI 暂未完成官方逐条核验；根据字段名、所属 AI 配置 上下文和既有社区资料线索，它可能用于对象行为、显示或引擎内部规则。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
AI,tempValue,Text,Yuri,community-reference-inferred-yuri-20260603,推断型字段：tempValue / AI 暂未完成官方逐条核验；根据字段名、所属 AI 配置 上下文和既有社区资料线索，它可能用于超级武器或特殊效果逻辑。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
AI,Threat,Text,Yuri,community-reference-inferred-yuri-20260603,推断型字段：Threat / AI 暂未完成官方逐条核验；根据字段名、所属 AI 配置 上下文和既有社区资料线索，它可能用于AI 行为、目标选择或威胁评估。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
Aircraft,Image.ConditionRed,Reference,Phobos,community-source-assisted-inferred-phobos-20260603,推断型字段：Image.ConditionRed / Aircraft 暂未完成官方逐条核验；根据字段名、所属 AircraftType 飞行器 上下文和既有社区资料线索，它可能用于建造条件、阵营可用性或生产经济，并可能涉及图像、动画、炮口坐标或 UI 表现。通常引用另一类 INI 对象或资源 ID。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
Aircraft,Image.ConditionYellow,Reference,Phobos,community-source-assisted-inferred-phobos-20260603,推断型字段：Image.ConditionYellow / Aircraft 暂未完成官方逐条核验；根据字段名、所属 AircraftType 飞行器 上下文和既有社区资料线索，它可能用于图像、动画、炮口坐标或 UI 表现，并可能涉及超级武器或特殊效果逻辑。通常引用另一类 INI 对象或资源 ID。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,AddOccupy4,Text,Yuri,name-inferred-yuri-20260603,推断型字段：AddOccupy4 / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于对象行为、显示或引擎内部规则。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,AirDeathFalling,Text,Yuri,name-inferred-yuri-20260603,推断型字段：AirDeathFalling / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于AI 行为、目标选择或威胁评估，并可能涉及武器、开火或投射表现。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,AirDeathFinish,Text,Yuri,name-inferred-yuri-20260603,推断型字段：AirDeathFinish / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于AI 行为、目标选择或威胁评估，并可能涉及武器、开火或投射表现。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,AirDeathStart,Text,Yuri,name-inferred-yuri-20260603,推断型字段：AirDeathStart / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于AI 行为、目标选择或威胁评估，并可能涉及武器、开火或投射表现。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,AltCameo,Reference,Yuri,name-inferred-yuri-20260603,推断型字段：AltCameo / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于生命值、护甲、伤害或修理倍率，并可能涉及图像、动画、炮口坐标或 UI 表现。通常引用另一类 INI 对象或资源 ID。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,BibShape,Text,Yuri,name-inferred-yuri-20260603,推断型字段：BibShape / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于图像、动画、炮口坐标或 UI 表现。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,Bouncer,Text,Yuri,name-inferred-yuri-20260603,推断型字段：Bouncer / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于对象行为、显示或引擎内部规则。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
