Key,AppliesTo,EditorKind,SourceKind,CurrentQuality,CurrentTrustBucket,DescriptionShape,DescriptionSha256,SourceCount,SameKeyHigherQualityElsewhere,HigherQualityContexts,ProposedDisposition,ReviewReason
AA,Techno,Text,Yuri,source-verified-guardrail-projectile-core-20260603,VerifiedGuardrail,SpecificOrNeedsReview,ABB770FB5CC34931EFC9F9A5695C739657BF88E1B6CE3D5C3F10FFCFA5854AA0,1,True,Projectile,DiagnosticOnlyKeep,Existing diagnostic trust state; retain lookup/diagnostics and exclude from key completion.
AA,Weapon,Text,Yuri,source-verified-guardrail-projectile-core-20260603,VerifiedGuardrail,SpecificOrNeedsReview,73410D473D55600964B2071F64C51D4C7C2D3460EC14A85113894CB593B6917A,1,True,Projectile,DiagnosticOnlyKeep,Existing diagnostic trust state; retain lookup/diagnostics and exclude from key completion.
AARate,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,6CC2E094AE553EC4AA0EBD82F84B5F91AEC1855A032526E01A8DD53BA59E79C0,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range AARate..Culling.
AbsorbOverDamage,Shield,Boolean,Phobos,auto-extracted,AutoExtracted,GenericTypeOnly,2067A2273E494BB45225D608844C910E9DF9189E03787B71AABDFB0C92B5D34A,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Phobos key range AbsorbOverDamage..IsHideable. Source metadata alone is insufficient because extraction produced context errors.
Accelerates,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,87794A031A1E7DF41F438B1E16E4F45102C6A84F4E3B7627EE8D70F8A995DC7B,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range AARate..Culling.
Acceleration,Techno,Text,Yuri,source-verified-guardrail-projectile-core-20260603,VerifiedGuardrail,SpecificOrNeedsReview,AE755CB225147EB4EC7729A7A75F85437D4BA71C183017603F6361BA60A998EF,1,True,Projectile,DiagnosticOnlyKeep,Existing diagnostic trust state; retain lookup/diagnostics and exclude from key completion.
Acceleration,Weapon,Reference,Yuri,source-verified-guardrail-projectile-core-20260603,VerifiedGuardrail,SpecificOrNeedsReview,54D1AD120369C526609D21F57E2F8B3FE0250151EC5FCE56D3C5784324888521,1,True,Projectile,DiagnosticOnlyKeep,Existing diagnostic trust state; retain lookup/diagnostics and exclude from key completion.
Action,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,8D00C9181D4E4B9F150B25543F62617F902C25670DF11D195BAA33ED0F4B2564,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range AARate..Culling.
ActivateSound,Global,Text,Yuri,auto-extracted,AutoExtracted,ShortDescription,A12C5985BD774173498866B7A06C23F57626AFA726D23AC5B83A9C79572C14EE,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
ActiveAnim,ArtObject,Text,Yuri,auto-extracted,AutoExtracted,KeyPlusField,D876C8061FDBCD6ED01DE5FAECC6F3BD198B38319120791C104E8D1CB5896AE6,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
ActiveAnimDamaged,ArtObject,Text,Yuri,auto-extracted,AutoExtracted,KeyPlusField,4E14B10293601CE7C1259B0B95C26DE5F38CAA74678B395B5163BA15D932F791,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
ActiveAnimPowered,ArtObject,Text,Yuri,auto-extracted,AutoExtracted,KeyPlusField,A134294EDF109E468D390393D9DEC55A0875DDF7A71B8910768EEF3573A9A06F,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
ActiveAnimTwo,ArtObject,Text,Yuri,auto-extracted,AutoExtracted,KeyPlusField,24E968D821A3BCA92A35BA44B9D5D831F69E42A76EDF20A6BF9942D7A17966FB,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
ActiveAnimTwoDamaged,ArtObject,Text,Yuri,auto-extracted,AutoExtracted,KeyPlusField,6A37B78F6CC17CA6ADEAB3C7C64741FCF99FAEEBCD4640CC94C9E974F998FC2F,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
ActiveAnimTwoPowered,ArtObject,Text,Yuri,auto-extracted,AutoExtracted,KeyPlusField,EA25178C2B8649F818EAC6EE1431ED22FFAE3B463F6FDCCC03703B3575CCFB9E,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
ActiveAnimTwoX,ArtObject,Text,Yuri,auto-extracted,AutoExtracted,KeyPlusField,0423CE5ED233C6BB85C471951CF2BCA77ACEC8EF0692802BA0677855D1CA9DF4,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
ActiveAnimTwoY,ArtObject,Text,Yuri,auto-extracted,AutoExtracted,KeyPlusField,75F932418D0C900F8E4B82D67E386FB859168C10D78D5F9103E96350841819B6,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
ActiveAnimTwoYSort,ArtObject,Text,Yuri,auto-extracted,AutoExtracted,KeyPlusField,4E7397385D4811407A2A7E8F66E84748C12DF9876A73D97CCF42768999E2772F,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
ActiveAnimTwoZAdjust,ArtObject,Text,Yuri,auto-extracted,AutoExtracted,KeyPlusField,62132B1BE0599B335CF5E3606D547625CB7429B7A1B35C6B4C544FEFE267ED07,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
ActiveAnimX,ArtObject,Text,Yuri,auto-extracted,AutoExtracted,KeyPlusField,69D216BCCC8145BAEDB8497FE14D7C8A3ECB154ED7602DFA1ACE26E1F66A213D,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
ActiveAnimY,ArtObject,Text,Yuri,auto-extracted,AutoExtracted,KeyPlusField,D97DBA3D7840B3E71E6CC30DB8DE5084F408A40A0E60FAAF6252B101EEFEB0E2,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
ActiveAnimYSort,ArtObject,Text,Yuri,auto-extracted,AutoExtracted,KeyPlusField,21BAAF69D014B4B9E7AA4A05DE334732D4C6B505009822E83B7DEB7A42BD4371,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
