Priority,IntegrationBucket,MergeAction,Key,CurrentAppliesTo,CurrentQuality,RecommendedQuality,RecommendedDescription,SourceUrl,Decision
P0,RemoveOrBacklog,ReviewContextOrRemoveNoise,Players,Global,auto-extracted,community-reviewed-side-country-list-p0-20260603,Players 当前注释混入列表/阵营注册信息；不应作为普通 Global 字段直接合入，需确认实际段落。,https://phobos.readthedocs.io/en/latest/New-or-Enhanced-Logics.html,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,ReviewContextOrRemoveNoise,Side,Global,auto-extracted,community-reviewed-side-country-list-p0-20260603,Side 当前注释混入列表/阵营注册信息；不应作为普通 Global 字段直接合入，需确认实际段落。,https://phobos.readthedocs.io/en/latest/New-or-Enhanced-Logics.html,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,ReviewContextOrRemoveNoise,ThirdSide,Global,auto-extracted,community-reviewed-side-country-list-p0-20260603,ThirdSide 当前注释混入列表/阵营注册信息；不应作为普通 Global 字段直接合入，需确认实际段落。,https://phobos.readthedocs.io/en/latest/New-or-Enhanced-Logics.html,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,Black,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,Black 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,Blue,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,Blue 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,Burgandy,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,Burgandy 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,Cyan,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,Cyan 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,DarkBlue,Global,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,DarkBlue 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,DarkBlue,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,DarkBlue 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,DarkCyan,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,DarkCyan 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,DarkGold,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,DarkGold 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,DarkGrey,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,DarkGrey 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,DarkMagenta,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,DarkMagenta 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,DarkOrange,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,DarkOrange 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,DarkPeach,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,DarkPeach 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,DarkRed,Global,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,DarkRed 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,DarkRed,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,DarkRed 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,DarkTeal,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,DarkTeal 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,DarkYellow,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,DarkYellow 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,DarkerPeach,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,DarkerPeach 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,Darklime,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,Darklime 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,Gold,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,Gold 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,Grey,Global,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,Grey 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,Grey,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,Grey 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,HighBlue,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,HighBlue 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,HighGreen,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,HighGreen 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,HighRed,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,HighRed 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,HyundaiPurple,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,HyundaiPurple 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,LightBlue,Global,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,LightBlue 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,LightBlue,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,LightBlue 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,LightCyan,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,LightCyan 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
